ScientificName,Kingdom,Kingdom_C,Phylum,Phylum_C,Class,Orders,Order_C,Family,Family_C,Genus,Collector,ForestConservation,Latitude,Longitude
Lethe christophi hanako,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Lethe,范義彬,0,24.51,121.11
Salatura genutia genutia,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Salatura,,0,0.00,0.00
Abraximorpha davidii ermasis,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Hesperiidae,弄蝶科,Abraximorpha,楊英烈,0,23.90,120.88
Tagiades cohaerens cohaerens,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Hesperiidae,弄蝶科,Tagiades,張玉珍,0,23.90,120.88
Celaenorrhinus maculosus taiwanus,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Hesperiidae,弄蝶科,Celaenorrhinus,范義彬,0,24.66,121.61
Choaspes benjaminii formosana,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Hesperiidae,弄蝶科,Choaspes,張玉珍,0,0.00,0.00
Bibasis jaina formosana,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Hesperiidae,弄蝶科,Bibasis,張玉珍,0,0.00,0.00
Deudorix chandrana kuyaniana,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Lycaenidae,灰蝶科,Deudorix,張玉珍,0,23.99,120.91
Ancema ctesia cakravasti,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Lycaenidae,灰蝶科,Ancema,張玉珍,0,23.99,120.91
Strymonidia eximia mushana,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Lycaenidae,灰蝶科,Strymonidia,張玉珍,0,23.99,120.91
Chrysozephyrus mushaellus mushaellus,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Lycaenidae,灰蝶科,Chrysozephyrus,張玉珍,0,23.99,120.91
Chrysozephyrus disparatus pseudotaiwanus,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Lycaenidae,灰蝶科,Chrysozephyrus,范義彬,0,24.22,121.31
