項次,行政區,分局,名稱,里別,地址,地下層數位址,容納人數,座標X,座標Y,場所名稱,,
72,萬華區,萬華分局,捷運車站,富民里,臺北市萬華區西園路一段153號,1、2,55225,121.49946,25.035852,捷運龍山寺站,,
73,萬華區,萬華分局,地下停車場,萬壽里,臺北市萬華區峨眉街83號,1、2,4130,121.505267,25.043984,峨眉立體停車場,,
74,萬華區,萬華分局,地下停車場,福星里,臺北市萬華區環河南路一段1號,1、2,12719,121.505897,25.048762,洛陽綜合立體停車場,,
75,萬華區,萬華分局,地下停車場,騰雲里,臺北市萬華區中華路二段606巷1號,1、2,10335,121.510012,25.023956,古亭國中地下停車場,,
76,萬華區,萬華分局,地下停車場,騰雲里,臺北市萬華區國興路5號,1、2,18885,121.507754,25.024467,青年公園高爾夫球場地下停車場,,
77,萬華區,萬華分局,地下停車場,和德里,臺北市萬華區西園路二段320巷55弄3號,1、2,15223,121.492054,25.028299,雙園國中地下停車場,,
78,萬華區,萬華分局,地下停車場,騰雲里,臺北市萬華區青年路69號,1、2,15455,121.502966,25.023446,青年公園棒球場地下停車場,,
79,萬華區,萬華分局,地下停車場,綠堤里,臺北市萬華區艋舺大道462號,1、2,13245,121.490848,25.028324,萬板地下停車場,,
80,萬華區,萬華分局,地下停車場,富民里,臺北市萬華區西園路一段145號,3、4,13523,121.499523,25.036142,艋舺公園地下停車場,,
81,萬華區,萬華分局,地下停車場,日善里,臺北市萬華區西藏路201號,1、2,30681,121.498701,25.029159,萬華國中地下停車場,,
82,萬華區,萬華分局,地下停車場,糖廍里,臺北市萬華區大理街160巷2號,1、2,3045,121.494157,25.033567,新糖廍公園地下停車場,,
83,萬華區,萬華分局,地下停車場,富福里,臺北市萬華區康定路382號,1、2,16786,121.500326,25.033383,萬華車站地下停車場,,
84,萬華區,萬華分局,地下街,富民里,臺北市萬華區西園路一段145號地下街,1、2,8874,121.499523,25.036142,龍山寺地下街,,
85,萬華區,萬華分局,公有建築物,青山里,臺北市萬華區桂林路135號,1,1436,121.499611,25.038601,萬華分局,,
86,中山區,中山分局,公有建築物,新庄里,臺北市中山區新生北路三段101號,1,793,121.52814,25.06891,北市自來水處-大同加壓站,,
87,中山區,中山分局,公有建築物,新庄里,臺北市中山區新生北路三段105號,1,797,121.528778,25.070225,公燈處-圓山公園管理所,,
88,中山區,中山分局,公有建築物,中原里,臺北市中山區長春路116號,1,2519,121.52963,25.054717,吉林國小-活動中心,,
89,中山區,中山分局,公有建築物,中原里,臺北市中山區新生北路二段101巷2號,1,1816,121.528462,25.057268,社會局,,
90,中山區,中山分局,公有建築物,興亞里,臺北市中山區松江路70巷11號,1,798,121.531925,25.049413,長安國中-活動中心,,
91,中山區,中山分局,公有建築物,興亞里,臺北市中山區長安東路二段11號,1,298,121.530579,25.048598,中山分局警備隊,,
92,中山區,中山分局,公有建築物,中央里,臺北市中山區長春路165號,1,2055,121.533883,25.054948,長春國小-活動中心,,
93,中山區,中山分局,公有建築物,中央里,臺北市中山區長春路167號,1,6570,121.535107,25.054986,大同高中-活動中心,,
94,中山區,中山分局,公有建築物,永安里,臺北市中山區明水路397巷19弄1號,2,9884,121.549392,25.078735,永安國小-活動中心,,
95,中山區,中山分局,公有建築物,大直里,臺北市中山區大直街2號,1,1150,121.546432,25.080494,大直國小-活動中心,,
96,中山區,中山分局,公有建築物,劍潭里,臺北市中山區北安路420號,3,776,121.54285,25.079432,大直高中-活動中心,,
97,中山區,中山分局,公有建築物,劍潭里,臺北市中山區明水路325號,1,2906,121.541624,25.077788,北安國中-綜合大樓,,
98,中山區,中山分局,公有建築物,劍潭里,臺北市中山區北安路305號,3,2718,121.538849,25.078638,海軍司令部,,
99,中山區,中山分局,公有建築物,劍潭里,臺北市中山區北安路387號,1,35437,121.540409,25.079764,空軍司令部,,
100,中山區,中山分局,公有建築物,力行里,北市中山區龍江路62號,1,240,121.540263,25.050622,中正國民小學-活動中心,,
101,中山區,中山分局,公有建築物,力行里,臺北市中山區朱崙街20號,2,6473,121.539463,25.049897,體育署,,
102,中山區,中山分局,公有建築物,力行里,臺北市中山區長安東路二段141號,1,569,121.537161,25.048532,中山女子高級中學-活動中心,,
103,中山區,中山分局,公有建築物,力行里,臺北市中山區長安東路二段165號,2,344,121.54057,25.04843,長安東路派出所,,
104,中山區,中山分局,公有建築物,朱園里,臺北市中山區八德路二段85號,1,137,121.535692,25.045869,建國啤酒廠,,
105,中山區,中山分局,公有建築物,恆安里,臺北市中山區民權東路一段69號,1,461,121.526315,25.062913,中山國小-活動中心,,
106,中山區,中山分局,公有建築物,恆安里,臺北市中山區民權東路一段69號,1,349,121.526315,25.062913,中山國小-教學大樓,,
107,中山區,中山分局,公有建築物,江山里,臺北市中山區復興北路280巷11號,1,516,121.543373,25.058802,臺北大學-宿舍,,
108,中山區,中山分局,公有建築物,江山里,臺北市中山區復興北路294巷13號,1,322,121.54329,25.059135,臺北大學-宿舍,,
109,中山區,中山分局,公有建築物,江山里,臺北市中山區民生東路三段67號,1,590,121.542278,25.058049,臺北大學-教學大樓,,
110,中山區,中山分局,公有建築物,江山里,臺北市中山區民生東路三段67號,1,2740,121.542278,25.058049,臺北大學-資訊大樓,,
111,中山區,中山分局,公有建築物,江寧里,臺北市中山區民權東路三段12號,1、2,4594,121.539732,25.062134,國軍國眷住宅公用合作社,,
112,中山區,中山分局,公有建築物,江寧里,臺北市中山區龍江路292巷3號,1,2278,121.540454,25.061541,國軍國眷住宅公用合作社,,
113,中山區,中山分局,公有建築物,下埤里,臺北市中山區五常街16號,1,3488,121.542213,25.064195,五常國小-活動中心,,
114,中山區,中山分局,公有建築物,行仁里,臺北市中山區建國北路三段39號,1、2,5781,121.537612,25.063914,停管處,,
115,中山區,中山分局,公有建築物,行孝里,臺北市中山區民族東路410巷2弄18號,1、2,910,121.536893,25.066725,市場處,,
116,中山區,中山分局,公有建築物,行孝里,臺北市中山區民族東路336號,1,21566,121.537341,25.067923,第二果菜批發市場,,
117,中山區,中山分局,公有建築物,行孝里,臺北市中山區民族東路282號,1、2、3,5691,121.535956,25.068019,臺北巿政府警察局宿舍,,
118,中山區,中山分局,公有建築物,行政里,臺北市中山區松江路367號,1、2,2890,121.533501,25.064395,中山區行政中心,,
119,中山區,中山分局,公有建築物,行政里,臺北市中山區建國北路三段40號,1,545,121.536644,25.06408,臺灣電力公司,,
120,中山區,中山分局,公有建築物,行政里,臺北市中山區民權東路二段113巷1弄10號,1,490,121.534617,25.062953,臺北市政府國宅處,,
121,中山區,中山分局,公有建築物,大佳里,臺北市中山區濱江街355號,1,340,121.550534,25.072422,飛航服務總臺,,
122,中山區,中山分局,公有建築物,民安里,臺北市中山區長安西路3號,1、2,6562,121.521201,25.050163,中山市場,,
123,中山區,中山分局,公有建築物,民安里,臺北市中山區長安西路5巷2號,1,2020,121.520773,25.050505,臺北市社會局,,
124,中山區,中山分局,公有建築物,康樂里,臺北市中山區中山北路二段1號,1,650,121.522831,25.052609,中山分局,,
125,中山區,中山分局,公有建築物,正守里,臺北市中山區林森北路67巷7號,1,112,121.524882,25.048625,林森居民活動中心,,
126,中山區,中山分局,公有建築物,聚葉里,臺北市中山區林森北路511號,1,136,121.525788,25.062063,新興國中-活動中心,,
127,中山區,中山分局,公有建築物,聚葉里,臺北市中山區林森北路511號,1,137,121.525788,25.062063,新興國中-教學大樓,,
128,中山區,中山分局,公有建築物,聚葉里,臺北市中山區林森北路511號,1,1444,121.525788,25.062063,新興國中-教學大樓,,
129,中山區,中山分局,公有建築物,民安里,臺北市中山區中山北路二段44巷2號,3,2448,121.521563,25.054843,中山運動中心,,
130,中山區,中山分局,供公眾使用建築物,恆安里,臺北市中山區民權東路一段9號,2,722,121.523326,25.062943,燦路都飯店,,
131,中山區,中山分局,供公眾使用建築物,恆安里,臺北市中山區林森北路530號,2,904,121.525526,25.063451,聯合醫院林森中醫院區,,
132,中山區,中山分局,供公眾使用建築物,恆安里,臺北市中山區民權東路一段71巷19號,1,169,121.527201,25.063438,恆安圖書館,,
133,中山區,中山分局,供公眾使用建築物,晴光里,臺北市中山區新生北路三段56巷14號,1,441,121.526848,25.06531,綠蒂飯店,,
134,中山區,中山分局,供公眾使用建築物,晴光里,臺北市中山區林森北路600號,1,1034,121.525603,25.066002,華國大飯店,,
135,中山區,中山分局,供公眾使用建築物,圓山里,臺北市中山區德惠街11號,1,738,121.525501,25.066756,景福宮,,
136,中山區,中山分局,供公眾使用建築物,劍潭里,臺北市中山區中山北路四段1號,1,8738,121.52613,25.07865,圓山大飯店,,
137,中山區,中山分局,供公眾使用建築物,圓山里,臺北市中山區中山北路三段57號,1,409,121.523064,25.06828,台裕實業大樓,,
138,中山區,中山分局,供公眾使用建築物,圓山里,臺北市中山區林森北路646號,1,1452,121.525634,25.068104, 歐華酒店,,
139,中山區,中山分局,供公眾使用建築物,中原里,臺北市中山區吉林路100號,1,1512,121.529991,25.053137,兆豐吉林大樓,,
140,中山區,中山分局,供公眾使用建築物,中吉里,臺北市中山區長春路156號,1,716,121.532208,25.054651,土地銀行長春分行,,
141,中山區,中山分局,供公眾使用建築物,中吉里,臺北市中山區松江路136號,3,1738,121.532826,25.053107,國泰世華商業銀行,,
142,中山區,中山分局,供公眾使用建築物,興亞里,臺北市中山區長安東路二段7號,1,90,121.530435,25.048601,土地銀行,,
143,中山區,中山分局,供公眾使用建築物,金泰里,臺北市中山區敬業三路20號,3,23768,121.556712,25.082926,美麗華百貨公司,,
144,中山區,中山分局,供公眾使用建築物,金泰里,臺北市中山區敬業三路123號,1,11388,121.555539,25.081795,ATT4 recharge商場,,
145,中山區,中山分局,供公眾使用建築物,江寧里,臺北市中山區民權東路三段60巷13弄1號,1,42,121.542722,25.060741,大同公司職工福利委員會,,
146,中山區,中山分局,供公眾使用建築物,行孝里,臺北市中山區五常街3號,1,322,121.537578,25.06443,安泰商業銀行,,
147,中山區,中山分局,供公眾使用建築物,行政里,臺北市中山區松江路359號,1,362,121.533524,25.063548,玄空圖書館松江分館,,
148,中山區,中山分局,供公眾使用建築物,民安里,臺北市中山區南京西路12號,1,1858,121.521244,25.052326,新光三越百貨公司本館,,
149,中山區,中山分局,供公眾使用建築物,民安里,臺北市中山區南京西路14號,2,3617,121.520664,25.052433,誠品書局南西店,,
150,中山區,中山分局,供公眾使用建築物,民安里,臺北市中山區南京西路15號,3,2856,121.520942,25.052744,新光三越百貨公司三館,,
151,中山區,中山分局,捷運車站,民安里,臺北市中山區南京西路16號,1、2、3、4,37952,121.52038,25.0527,捷運中山站,,
152,中山區,中山分局,捷運車站,中吉里,臺北市中山區松江路126號,1、2、3、4,35690,121.532765,25.052709,捷運松江南京站,,
153,中山區,中山分局,捷運車站,新生里,臺北市中山區松江路316號,1、2、3,19086,121.532841,25.060482,捷運行天宮站,,
154,中山區,中山分局,捷運車站,恆安里,臺北市中山區民權東路一段71號,1、2,9037,121.526855,25.062819,捷運中山國小站,,
