"yearmonth","organ","field1","field2","field3","field4","field5","field6","field7","field8","field9","field10"
"104年3月","永和分局","","","","","","","1.0","","",""
"104年3月","中和第一分局","","","","","","","","","",""
"104年3月","中和第二分局","","","","","","1.0","","","",""
"104年3月","三重分局","","1.0","","","","","","","",""
"104年3月","新莊分局","","","","","","","2.0","","",""
"104年3月","三峽分局","","","","1.0","","","","","",""
"104年3月","淡水分局","","","","","","","","","",""
"104年3月","汐止分局","","","","","","","","","",""
"104年3月","樹林分局","","","","1.0","","","","","",""
"104年3月","新店分局","","","","","","","","","",""
"104年3月","蘆洲分局","","","","","","1.0","","1.0","",""
"104年3月","土城分局","","","","","","","1.0","","",""
"104年3月","金山分局","","","","1.0","","","","","",""
"104年3月","瑞芳分局","","","","","","","1.0","","",""
"104 年 4 月","板橋分局","","","","","","","","","",""
"104 年 4 月","海山分局","","1.0","","","","","","","",""
"104 年 4 月","永和分局","","","","","","","","","",""
"104 年 4 月","中和第一分局","","","","","","","","","",""
"104 年 4 月","中和第二分局","","","","","","","","2.0","",""
"104 年 4 月","三重分局","","","","","","","","1.0","",""
"104 年 4 月","新莊分局","","","","1.0","","","","","",""
"104 年 4 月","三峽分局","","","","","","","","1.0","",""
"104 年 4 月","淡水分局","","","","1.0","","","","","",""
"104 年 4 月","汐止分局","","","","","","","","","",""
"104 年 4 月","樹林分局","","","","","","","","","",""
"104 年 4 月","新店分局","","","","","","","","","",""
"104 年 4 月","蘆洲分局","","","","","","","","1.0","",""
"104 年 4 月","土城分局","","","","","","","","1.0","",""
"104 年 4 月","金山分局","","","","","","","","","",""
"104 年 4 月","瑞芳分局","","","","","","","1.0","","",""
"104 年 5 月","板橋分局","","","","","","","","","",""
"104 年 5 月","海山分局","","","","","","","","1.0","",""
"104 年 5 月","永和分局","","","","","","","","","",""
"104 年 5 月","中和第一分局","","","","","","","","","",""
"104 年 5 月","中和第二分局","","","","","","","","","",""
"104 年 5 月","三重分局","","","","","","","1.0","","",""
"104 年 5 月","新莊分局","","","","","","","","2.0","",""
"104 年 5 月","三峽分局","","","","","","","2.0","","",""
"104 年 5 月","淡水分局","","","","","","","","","",""
"104 年 5 月","汐止分局","","","","","","","","","",""
"104 年 5 月","樹林分局","","","","","","","","","",""
"104 年 5 月","新店分局","","","","","","","","","",""
